source_id,best_strategy,status,extracted_today,published_today,api_records_today,discovered_today,crawl_errors_today,frontier_touch_today,intake_sum
moea_gov_tw,playwright_fallback,active_candidate,0,0,0,0,40,28,0
mospi_gov_in,manual_review,review,0,0,0,0,0,0,0
nationthailand_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
nature_com,rss_then_article_extract,active,0,0,0,0,0,0,0
ncbi_nlm_nih_gov,api_first,active,0,0,0,0,0,0,0
news24_com,html_then_trafilatura,active_candidate,0,0,0,0,30,22,0
news_sky_com,playwright_fallback,active_candidate,0,0,0,0,2,1,0
npr_org,manual_review,review,0,0,0,0,0,0,0
nseindia_com,manual_review,review,0,0,0,0,0,0,0
nytimes_com,rss_then_article_extract,active,0,0,0,0,21,21,0
nzherald_co_nz,sitemap_then_article_extract,active,0,0,0,0,0,0,0
oecd_org,playwright_fallback,active_candidate,0,0,0,0,2,1,0
ons_gov_uk,html_then_trafilatura,active_candidate,0,0,0,0,47,32,0
openalex_org,manual_review,review,0,0,0,0,0,0,0
osc_ca,sitemap_then_article_extract,active,0,0,0,0,0,0,0
parliament_uk,playwright_fallback,active_candidate,0,0,0,0,2,1,0
pbc_gov_cn,manual_review,review,0,0,0,0,0,0,0
philstar_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
pib_gov_in,playwright_fallback,active_candidate,0,0,0,0,2,1,0
politico_eu,rss_then_article_extract,active,0,0,0,0,20,20,0
qna_org_qa,sitemap_then_article_extract,active,0,0,0,0,0,0,0
rba_gov_au,rss_then_article_extract,active,0,0,0,0,0,0,0
rbc_ru,sitemap_then_article_extract,active,0,0,0,0,0,0,0
rbi_org_in,sitemap_then_article_extract,active,0,0,0,0,0,0,0
rbnz_govt_nz,playwright_fallback,active_candidate,0,0,0,0,2,1,0
reutersagency_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
sbv_gov_vn,sitemap_then_article_extract,active,0,0,0,0,0,0,0
science_org,playwright_fallback,active_candidate,0,0,0,0,2,1,0
scmp_com,rss_then_article_extract,active,0,0,0,0,22,22,0
sebi_gov_in,sitemap_then_article_extract,active,0,0,0,0,0,0,0
sec_gov,api_first,active,0,0,0,0,0,0,0
semanticscholar_org,api_first,active,0,0,0,0,0,0,0
sgx_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
singstat_gov_sg,sitemap_then_article_extract,active,0,0,0,0,2,2,0
smh_com_au,rss_then_article_extract,active,0,0,0,0,34,34,0
spa_gov_sa,sitemap_then_article_extract,active,0,0,0,0,0,0,0
stat_go_jp,playwright_fallback,active_candidate,0,0,0,0,2,1,0
statcan_gc_ca,rss_then_article_extract,active,0,0,0,0,0,0,0
stats_govt_nz,sitemap_then_article_extract,active,0,0,0,0,0,0,0
statssa_gov_za,playwright_fallback,active_candidate,0,0,0,0,2,1,0
straitstimes_com,rss_then_article_extract,active,0,0,0,0,0,0,0
tadawulgroup_sa,html_then_trafilatura,active_candidate,0,0,0,0,36,28,0
taiwannews_com_tw,sitemap_then_article_extract,active,0,0,0,0,0,0,0
tass_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
theaustralian_com_au,sitemap_then_article_extract,active,0,0,0,0,3,3,0
theeastafrican_co_ke,rss_then_article_extract,active,0,0,0,0,7,7,0
theglobeandmail_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
theguardian_com,rss_then_article_extract,active,0,0,0,0,34,34,0
thejakartapost_com,sitemap_then_article_extract,active,0,0,0,0,2,2,0
thenationalnews_com,sitemap_then_article_extract,active,0,0,0,0,2,2,0
thestar_com_my,sitemap_then_article_extract,active,0,0,0,0,0,0,0
timesofisrael_com,html_then_trafilatura,active_candidate,0,0,0,0,30,18,0
todayonline_com,html_then_trafilatura,active_candidate,0,0,0,0,28,19,0
tsx_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
tuoitre_vn,rss_then_article_extract,active,0,0,0,0,21,21,0
un_org,rss_then_article_extract,active,0,0,0,0,0,0,0
vietnamnet_vn,sitemap_then_article_extract,active,0,0,0,0,0,0,0
vnexpress_net,sitemap_then_article_extract,active,0,0,0,0,0,0,0
washingtonpost_com,manual_review,review,0,0,0,0,0,0,0
who_int,sitemap_then_article_extract,active,0,0,0,0,0,0,0
wikidata_org,playwright_fallback,active_candidate,0,0,0,0,24,12,0
worldbank_org,api_first,active,0,0,0,0,0,0,0
wsj_com,sitemap_then_article_extract,active,0,0,0,0,3,3,0
www3_nhk_or_jp,manual_review,review,0,0,0,0,0,0,0

__TOTALS_PROFILE_SOURCES__,,,495,296,0,0,1396,1559,495
__EXTRA__,api_records_missing_source_id,,,,0,,,,
